Year,Bangalore,Beijing,Bogota,Buenos Aires,Cairo,Chongqing,Delhi,Dhaka,Guangzhou,Istanbul,Jakarta,Karachi,Kinshasa,Kolkata,Lagos,Lahore,Los Angeles,Manila,Mexico City,Moscow,Mumbai,New York,Osaka,Paris,Rio de Janeiro,Sao Paulo,Shanghai,Shenzhen,Tianjin,Tokyo
1950,745999,1671365,630315,5166140,2493514,1566966,1369369,335760,1048975,967497,1452000,1055380,201905,4604143,325218,835769,4045514,1543666,3365081,5356392,3088811,12338471,7005284,6283018,3026195,2334038,4288091,3148,2467096,11274641
1955,939396,2364625,894187,5910271,3029198,1913248,1781624,408866,1155063,1248709,1972106,1419491,292398,5219086,468460,1021679,5154301,1871605,4293878,5748746,3726210,13219362,8622976,6796437,3687344,3043828,5712858,5112,2760676,13712679
1960,1165978,3900441,1268645,6761837,3680160,2275158,2282962,507921,1271914,1453353,2678740,1853325,442853,5910210,762418,1264277,6529638,2273734,5479184,6169961,4414904,14163521,10614841,7410735,4493182,3969759,6865312,8302,2935185,16678821
1965,1377314,4582017,1779758,7548511,4737968,2188064,2845042,820740,1400511,2001192,3296964,2405037,717018,6589384,1135439,1574981,7407634,2828883,6969157,6621780,5314300,15176758,13065322,7855185,5522674,5494150,6428131,13480,3120620,20284371
1970,1614756,4426045,2383425,8416170,5584507,2237344,3530693,1373718,1542151,2772095,3915406,3118723,1069714,7329372,1413528,1963951,8377685,3534309,8830947,7106457,6412876,16191180,15271510,8208121,6790519,7620490,6052468,21890,3317826,23297503
1975,2110599,4827973,3040465,9143219,6449922,2544566,4436385,2221055,1698116,3600332,4813132,3989191,1481820,8165629,1889802,2398576,8925518,4999303,10733860,7622703,7685346,15880271,16298124,8557844,7733429,9614016,5658129,35547,3527495,26614733
1980,2812428,5366372,3525154,9919781,7348778,2961400,5587014,3265663,1869905,4397037,5984256,5047815,2052874,9100166,2572218,2881596,9511568,5954719,13027620,8136141,9199543,15601401,17027547,8669349,8783870,12089454,5927898,58983,3750476,28548512
1985,3397214,6017488,4086775,10523442,8328255,3446230,7225758,4660384,2355566,5407297,7009030,6032582,2811896,10003665,3500464,3387873,10181172,6887920,14278216,8579920,10685530,15826788,17582632,8956222,9241709,13394815,7096280,193113,4097324,30303794
1990,4042598,6787737,4740448,11147566,9892143,4010602,9384209,6620697,3245991,6552160,8174756,7147064,3683274,10974177,4764093,3970161,10883429,7972799,15642318,8986631,12355090,16085599,18388783,9330327,9697487,14775840,8605812,875000,4558206,32530003
1995,4754228,8355148,5488071,11806407,11961986,5615367,12138233,8332474,5035339,7665403,8321858,8467439,4824684,11992194,5982680,4652529,11338890,9401255,17017469,9200994,14135363,16942770,18939588,9510103,10431518,15913473,11072063,2393747,5643951,33586573
2000,5581263,10285091,6329384,12503871,13625565,7862976,15691899,10284947,7812008,8743868,8389759,9825295,6140419,13097153,7280706,5576372,11798345,9957962,18457027,10004523,16146527,17813371,18660022,9736538,11306768,17014078,14246541,6550414,6988727,34449908
2005,6785901,12991292,7299095,13329540,15174050,9454076,18691330,12330879,9055056,10465694,8988406,11131559,7589069,13595152,8859399,6856969,11977857,10750752,19276065,10751428,17257072,18087174,18762099,10091795,11831807,18288134,17055788,8409066,8430065,35621544
2010,8295564,16441252,8417705,14245871,16899015,11243667,21987895,14730537,10278197,12584885,9625579,12611924,9381673,14002798,10441182,8432132,12160151,11887189,20136681,11461264,18257413,18365262,19312646,10460118,12373884,19659808,20314309,10222916,10150076,36859626
2015,10141080,18421198,9707746,14705533,18820072,13372015,25865875,17597177,11694882,14126772,10173388,14289160,11597706,14422670,12239206,10369137,12345219,12860058,21339781,12049135,19315737,18647626,19304722,10733502,12940796,20883046,23482181,11275391,12516041,37256109